,name,nutritions,tags,Ingredients,persons,time,url,image
10,"Traybake van peer, varkenslapjes, rode ui, tijm en knolselderij","['energie', '385 kcal', 'koolhydraten', '36 g', 'waarvan suikers', '21 g', 'natrium', '480 mg', 'eiwit', '26 g', 'vet', '12 g', 'waarvan verzadigd', '3 g', 'vezels', '15 g']","['lactosevrij', 'glutenvrij', 'slank', 'budget', 'oven', 'hoofdgerecht']","['knolselderij', 'Conference peer', 'verse tijm', 'milde olijfolie', 'knoflook', 'dijonmosterd', 'vloeibare honing', 'paprikapoeder', 'filetlapjes à la minute']",4,15,https://www.ah.nl/allerhande/recept/R-R1195716/traybake-van-peer-varkenslapjes-rode-ui-tijm-en-knolselderij,https://static.ah.nl/static/recepten/img_RAM_PRD156276_1024x748_JPG.jpg
11,Plaattaart met kip en pompoen,"['energie', '670 kcal', 'koolhydraten', '40 g', 'waarvan suikers', '12 g', 'natrium', '720 mg', 'eiwit', '31 g', 'vet', '41 g', 'waarvan verzadigd', '13 g', 'vezels', '5 g']","['oven', 'hoofdgerecht']","['rode ui', 'milde olijfolie', 'kipfilethaasjes sweet chili', 'vers bladerdeeg', 'hazelnoten', 'middelgroot ei', 'zuivelspread', 'keukenstroop']",4,10,https://www.ah.nl/allerhande/recept/R-R1195713/plaattaart-met-kip-en-pompoen,https://static.ah.nl/static/recepten/img_RAM_PRD156259_1024x748_JPG.jpg
12,Fish pie,"['energie', '570 kcal', 'koolhydraten', '30 g', 'waarvan suikers', '4 g', 'natrium', '520 mg', 'eiwit', '31 g', 'vet', '36 g', 'waarvan verzadigd', '22 g', 'vezels', '2 g']","['oven', 'hoofdgerecht']","['verse slagroom', 'ongezouten roomboter', 'bloem', 'mosterd', 'salade-ui', 'verse dille', 'citroen', 'middelgroot ei', 'diepvries deeg voor hartige taart']",4,30,https://www.ah.nl/allerhande/recept/R-R1195701/fish-pie,https://static.ah.nl/static/recepten/img_RAM_PRD156243_1024x748_JPG.jpg
13,Stoofvleespastei,"['energie', '575 kcal', 'koolhydraten', '30 g', 'waarvan suikers', '6 g', 'natrium', '720 mg', 'eiwit', '41 g', 'vet', '31 g', 'waarvan verzadigd', '17 g', 'vezels', '2 g']","['oven', 'hoofdgerecht']","['knoflook', 'winterpeen', 'sukadelapje', 'tarwebloem', 'ongezouten roomboter', 'donkerblond bier', 'water', 'runderbouillontablet', 'laurierblaadje', 'appelstroop', 'middelgroot ei', 'vers bladerdeeg']",6,30,https://www.ah.nl/allerhande/recept/R-R1195699/stoofvleespastei,https://static.ah.nl/static/recepten/img_RAM_PRD156273_1024x748_JPG.jpg
14,"Rijst met vegaballetjes, boerenkool, knoflook en tomatensaus","['energie', '725 kcal', 'koolhydraten', '85 g', 'waarvan suikers', '5 g', 'natrium', '1200 mg', 'eiwit', '30 g', 'vet', '27 g', 'waarvan verzadigd', '4 g', 'vezels', '11 g']","['vegetarisch', 'lactosevrij', 'oven', 'rijst', 'hoofdgerecht']","['verse boerenkool', 'milde olijfolie', 'rijst', 'vegetarische balletjes', 'verse pastasaus napolitana']",4,15,https://www.ah.nl/allerhande/recept/R-R1195692/rijst-met-vegaballetjes-boerenkool-knoflook-en-tomatensaus,https://static.ah.nl/static/recepten/img_RAM_PRD156265_1024x748_JPG.jpg
15,"Traybake met kippendij, sinaasappelglaze en brocccoli","['energie', '670 kcal', 'koolhydraten', '62 g', 'waarvan suikers', '14 g', 'natrium', '600 mg', 'eiwit', '29 g', 'vet', '31 g', 'waarvan verzadigd', '6 g', 'vezels', '10 g']","['lactosevrij', 'oven', 'hoofdgerecht']","['sjalot', 'appelcider', 'sojasaus', 'gemalen komijn', 'bruine suiker', 'zonnebloemolie', 'scharrelkipdijfilet', 'knoflook', 'verse krieltjes', 'koelvers broccoliroosje']",4,15,https://www.ah.nl/allerhande/recept/R-R1195686/traybake-met-kippendij-sinaasappelglaze-en-brocccoli,https://static.ah.nl/static/recepten/img_RAM_PRD156274_1024x748_JPG.jpg
16,Pompoenlasagne XL met geitenkaas,"['energie', '590 kcal', 'koolhydraten', '49 g', 'waarvan suikers', '13 g', 'natrium', '720 mg', 'eiwit', '28 g', 'vet', '30 g', 'waarvan verzadigd', '17 g', 'vezels', '7 g']","['zonder vlees/vis', 'vooraf te maken', 'oven', 'pasta', 'hoofdgerecht']","['rode ui', 'knoflook', 'gepelde tomaten in blik', 'milde olijfolie', 'passata di pomodoro', 'geitenkaas schijfjes', 'middelgroot ei', 'ricotta', 'verse lasagne all’uovo', 'geraspte geitenkaas']",8,25,https://www.ah.nl/allerhande/recept/R-R1195684/pompoenlasagne-xl-met-geitenkaas,https://static.ah.nl/static/recepten/img_RAM_PRD156261_1024x748_JPG.jpg
17,Ovenschotel met chipolata en knolselderij,"['energie', '630 kcal', 'koolhydraten', '71 g', 'waarvan suikers', '12 g', 'natrium', '640 mg', 'eiwit', '22 g', 'vet', '25 g', 'waarvan verzadigd', '10 g', 'vezels', '17 g']","['vooraf te maken', 'budget', 'oven', 'hoofdgerecht']","['knolselderij', 'halfvolle melk', 'rode ui', 'appel', 'runderchipolataworstje', 'winterpeen', 'zonnebloemolie', 'ongezouten roomboter', 'Zaanse mosterd', 'panko']",4,30,https://www.ah.nl/allerhande/recept/R-R1195683/ovenschotel-met-chipolata-en-knolselderij,https://static.ah.nl/static/recepten/img_RAM_PRD156257_1024x748_JPG.jpg
18,Stoofvlees met zoete-aardappelfriet en rodekoolsalade,"['energie', '475 kcal', 'koolhydraten', '61 g', 'waarvan suikers', '17 g', 'natrium', '600 mg', 'eiwit', '16 g', 'vet', '16 g', 'waarvan verzadigd', '3 g', 'vezels', '12 g']","['lactosevrij', 'glutenvrij', 'oven', 'hoofdgerecht']","['milde olijfolie', 'rode kool', 'verse platte peterselie', 'sinaasappel-chili dressing', 'Streeckgenoten koelvers stoofvlees']",4,20,https://www.ah.nl/allerhande/recept/R-R1195682/stoofvlees-met-zoete-aardappelfriet-en-rodekoolsalade,https://static.ah.nl/static/recepten/img_RAM_PRD156272_1024x748_JPG.jpg
19,Lasagne met chipolata en champignons (advertorial),"['energie', '740 kcal', 'koolhydraten', '63 g', 'waarvan suikers', '16 g', 'natrium', '1320 mg', 'eiwit', '37 g', 'vet', '36 g', 'waarvan verzadigd', '15 g', 'vezels', '6 g']","['vooraf te maken', 'oven', 'pasta', 'hoofdgerecht']","['kastanjechampignon', 'varkenschipolataworstjes', 'milde olijfolie', ""Grand'Italia ovensaus lasagne"", 'lasagnebladen', 'zuivelspread light', 'Parmezaansekaaspoeder']",4,25,https://www.ah.nl/allerhande/recept/R-R1195677/lasagne-met-chipolata-en-champignons-advertorial,https://static.ah.nl/static/recepten/img_RAM_PRD156291_1024x748_JPG.jpg
20,"Lasagne met champignons, tomaat en mozzarella","['energie', '630 kcal', 'koolhydraten', '60 g', 'waarvan suikers', '12 g', 'natrium', '320 mg', 'eiwit', '27 g', 'vet', '29 g', 'waarvan verzadigd', '11 g', 'vezels', '9 g']","['vegetarisch', 'gezond', 'oven', 'pasta', 'hoofdgerecht']","['milde olijfolie', 'knoflook', 'trostomaat', 'tomatenpuree', 'gedroogde Italiaanse kruiden', 'water', 'groentebouillontablet minder zout', 'mozzarella', 'volkoren lasagne bladen', 'geroosterde pijnboompitten']",4,30,https://www.ah.nl/allerhande/recept/R-R1195667/lasagne-met-champignons-tomaat-en-mozzarella,https://static.ah.nl/static/recepten/img_RAM_PRD156613_1024x748_JPG.jpg
21,"Geroosterde groente met aardappelpartjes, kip en sinaasappel ","['energie', '510 kcal', 'koolhydraten', '41 g', 'waarvan suikers', '7 g', 'natrium', '120 mg', 'eiwit', '27 g', 'vet', '24 g', 'waarvan verzadigd', '5 g', 'vezels', '10 g']","['glutenvrij', 'lactosevrij', 'oven', 'hoofdgerecht']","['broccoli', 'rode ui', 'knoflook', 'sinaasappel', 'kipdijfilet', 'aardappelpartjes met schil', 'gedroogde tijm', 'milde olijfolie']",4,15,https://www.ah.nl/allerhande/recept/R-R1195659/geroosterde-groente-met-aardappelpartjes-kip-en-sinaasappel,https://static.ah.nl/static/recepten/img_RAM_PRD156607_1024x748_JPG.jpg
22,"Pizza van volkorenplatbrood met tartaar, paprika en tomatensalsa ","['energie', '440 kcal', 'koolhydraten', '42 g', 'waarvan suikers', '10 g', 'natrium', '200 mg', 'eiwit', '22 g', 'vet', '19 g', 'waarvan verzadigd', '5 g', 'vezels', '6 g']","['gezond', 'oven', 'hoofdgerecht']","['middelgrote ui', 'knoflook', 'milde olijfolie', 'rundertartaar', 'gemalen komijnzaad', 'tomatenpuree', 'water', 'salade-ui', 'Libanees volkoren brood', 'halfvolle yoghurt', 'trostomaat', 'jonge bladsla-rucolamelange']",4,25,https://www.ah.nl/allerhande/recept/R-R1195647/pizza-van-volkorenplatbrood-met-tartaar-paprika-en-tomatensalsa,https://static.ah.nl/static/recepten/img_RAM_PRD156616_1024x748_JPG.jpg
23,"Traybake met groente, bonen en fuet sticks (advertorial)","['energie', '665 kcal', 'koolhydraten', '76 g', 'waarvan suikers', '16 g', 'natrium', '960 mg', 'eiwit', '20 g', 'vet', '28 g', 'waarvan verzadigd', '7 g', 'vezels', '15 g']","['oven', 'hoofdgerecht']","['knoflook', 'sinaasappel', 'milde olijfolie', 'limabonen in blik', 'zoete aardappel', 'broccoli', 'rode ui', 'Stegeman ambachtelijke fuet sticks']",4,15,https://www.ah.nl/allerhande/recept/R-R1195621/traybake-met-groente-bonen-en-fuet-sticks-advertorial,https://static.ah.nl/static/recepten/img_RAM_PRD156231_1024x748_JPG.jpg
24,Klassiek Britse pie met kip,"['energie', '690 kcal', 'koolhydraten', '56 g', 'waarvan suikers', '5 g', 'natrium', '280 mg', 'eiwit', '28 g', 'vet', '38 g', 'waarvan verzadigd', '23 g', 'vezels', '6 g']","['budget', 'oven', 'engels', 'hoofdgerecht']","['groentebouillontablet', 'scharrelkipfilet', 'ongezouten roomboter', 'bloem', 'zout', 'middelgrote ui', 'prei', 'winterpeen', 'champignons', 'verse tijm', 'verse platte peterselie', 'zonnebloemolie', 'middelgroot ei']",6,50,https://www.ah.nl/allerhande/recept/R-R1195616/klassiek-britse-pie-met-kip,https://static.ah.nl/static/recepten/img_RAM_PRD156227_1024x748_JPG.jpg
25,Shepherd's pie,"['energie', '745 kcal', 'koolhydraten', '49 g', 'waarvan suikers', '9 g', 'natrium', '960 mg', 'eiwit', '33 g', 'vet', '45 g', 'waarvan verzadigd', '23 g', 'vezels', '7 g']","['vooraf te maken', 'oven', 'engels', 'hoofdgerecht']","['winterwortel', 'zonnebloemolie', 'rundergehakt', 'runderbouillontablet', 'heet water', 'tomatenpuree', 'worcestershiresauce', 'middelgroot ei', 'kruimige aardappel', 'ongezouten roomboter', 'volle melk']",4,45,https://www.ah.nl/allerhande/recept/R-R1195614/shepherd-s-pie,https://static.ah.nl/static/recepten/img_RAM_PRD156339_1024x748_JPG.jpg
26,Vegan pizza salami,"['energie', '765 kcal', 'koolhydraten', '112 g', 'waarvan suikers', '8 g', 'natrium', '2080 mg', 'eiwit', '22 g', 'vet', '23 g', 'waarvan verzadigd', '14 g', 'vezels', '8 g']","['veganistisch', 'vooraf te maken', 'oven', 'hoofdgerecht']","['lauwwarm water', 'bloem voor pizzadeeg', 'gedroogde gist', 'milde olijfolie', 'Semola griesmeel', 'rode ui', 'jalapeñopeper', 'pizzasaus aromatizzata', 'plantaardige rasp Italiaanse stijl', 'vegan pepersalami']",4,25,https://www.ah.nl/allerhande/recept/R-R1195610/vegan-pizza-salami,https://static.ah.nl/static/recepten/img_RAM_PRD156344_1024x748_JPG.jpg
27,Vegan pizza funghi,"['energie', '690 kcal', 'koolhydraten', '85 g', 'waarvan suikers', '13 g', 'natrium', '960 mg', 'eiwit', '14 g', 'vet', '31 g', 'waarvan verzadigd', '13 g', 'vezels', '7 g']","['veganistisch', 'lactosevrij', 'oven', 'hoofdgerecht']","['Bertolli pizzabodem', 'pizzasaus', 'plantaardige rasp alternatief voor mozzarella', 'olijfolie truffelaroma', 'rucola']",2,10,https://www.ah.nl/allerhande/recept/R-R1195609/vegan-pizza-funghi,https://static.ah.nl/static/recepten/img_RAM_PRD156343_1024x748_JPG.jpg
28,Pittige tonijntosti’s met brie en courgette,"['energie', '585 kcal', 'koolhydraten', '46 g', 'waarvan suikers', '8 g', 'natrium', '880 mg', 'eiwit', '26 g', 'vet', '32 g', 'waarvan verzadigd', '14 g', 'vezels', '4 g']","['oven', 'brood/sandwiches', 'brunch', 'lunch', 'hoofdgerecht']","['courgette', 'brie 60+', 'pittige tonijnsalade', 'rauwkost Amsterdamse ui']",2,10,https://www.ah.nl/allerhande/recept/R-R1195608/pittige-tonijntosti-s-met-brie-en-courgette,https://static.ah.nl/static/recepten/img_RAM_PRD153406_1024x748_JPG.jpg
29,Tarte tatin van sjalotten met marmelade,"['energie', '510 kcal', 'koolhydraten', '52 g', 'waarvan suikers', '23 g', 'natrium', '240 mg', 'eiwit', '9 g', 'vet', '28 g', 'waarvan verzadigd', '18 g', 'vezels', '5 g']","['vegetarisch', 'budget', 'oven', 'frans', 'hoofdgerecht']","['sinaasappelmarmelade', 'sjalot', 'vers bladerdeeg', 'verse geitenkaas naturel', 'verse munt']",4,10,https://www.ah.nl/allerhande/recept/R-R1195606/tarte-tatin-van-sjalotten-met-marmelade,https://static.ah.nl/static/recepten/img_RAM_PRD153409_1024x748_JPG.jpg
30,Krokante zalm met bloemkool en notenrijst,"['energie', '740 kcal', 'koolhydraten', '55 g', 'waarvan suikers', '20 g', 'natrium', '1360 mg', 'eiwit', '38 g', 'vet', '39 g', 'waarvan verzadigd', '6 g', 'vezels', '8 g']","['oven', 'hoofdgerecht']","['honing', 'sojasaus', 'sesamolie', 'appelciderazijn', 'knoflookpoeder', 'gemalen gember', 'notenrijst', 'salade-uitje', 'verse koriander', 'verse zalmfilet op de huid', 'grof zeezout', 'zonnebloemolie']",4,5,https://www.ah.nl/allerhande/recept/R-R1195584/krokante-zalm-met-bloemkool-en-notenrijst,https://static.ah.nl/static/recepten/img_RAM_PRD151824_1024x748_JPG.jpg
31,Zalmpakketje uit de oven met pasta,"['energie', '825 kcal', 'koolhydraten', '72 g', 'waarvan suikers', '5 g', 'natrium', '600 mg', 'eiwit', '42 g', 'vet', '39 g', 'waarvan verzadigd', '13 g', 'vezels', '7 g']","['oven', 'pasta', 'hoofdgerecht']","['groene asperges', 'venkelknol', 'citroen', 'groentebouillontablet', 'kokend water', 'cherrytomaten', 'knoflook', 'ongezouten roomboter', 'Italiaanse kruidenmix', ""verse tagliatelle all'uovo""]",4,18,https://www.ah.nl/allerhande/recept/R-R1195583/zalmpakketje-uit-de-oven-met-pasta,https://static.ah.nl/static/recepten/img_RAM_PRD151859_1024x748_JPG.jpg
32,Zalmvissticks uit de oven met taco's en salsa,"['energie', '675 kcal', 'koolhydraten', '41 g', 'waarvan suikers', '6 g', 'natrium', '400 mg', 'eiwit', '28 g', 'vet', '42 g', 'waarvan verzadigd', '10 g', 'vezels', '9 g']","['oven', 'wrap', 'hoofdgerecht']","['tarwebloem', 'middelgroot ei', 'panko', 'tomaten', 'jalapeñopeper', 'limoen', 'verse koriander', 'avocado', 'maistortilla', 'crème fraîche', 'biologische gesneden rodekool']",4,20,https://www.ah.nl/allerhande/recept/R-R1195582/zalmvissticks-uit-de-oven-met-taco-s-en-salsa,https://static.ah.nl/static/recepten/img_RAM_PRD151860_1024x748_JPG.jpg
33,Traybake van orzo met gehaktballetjes in tomatensaus,"['energie', '600 kcal', 'koolhydraten', '57 g', 'waarvan suikers', '12 g', 'natrium', '1400 mg', 'eiwit', '39 g', 'vet', '22 g', 'waarvan verzadigd', '12 g', 'vezels', '8 g']","['oven', 'hoofdgerecht']","['water', 'Euroma by Jonnie Boer Funghi Trifolati specerijenmelange', 'bospaddenstoelentablet', 'verse basilicum', 'half-om-halfgehakt', 'Parmigiano Reggiano-poeder', 'orzo pasta', 'Italiaanse roerbakmix cavolo nero', 'mozzarella', 'kappertjes']",4,15,https://www.ah.nl/allerhande/recept/R-R1195581/traybake-van-orzo-met-gehaktballetjes-in-tomatensaus,https://static.ah.nl/static/recepten/img_RAM_PRD151853_1024x748_JPG.jpg
34,Quesadillatraybake,"['energie', '775 kcal', 'koolhydraten', '98 g', 'waarvan suikers', '13 g', 'natrium', '1920 mg', 'eiwit', '31 g', 'vet', '26 g', 'waarvan verzadigd', '8 g', 'vezels', '12 g']","['vegetarisch', 'oven', 'mexicaans', 'hoofdgerecht']","['jalapeñopeper', 'Mexicaanse roerbakgroente', 'Mexicaanse bonenkruiden', 'zout', 'La Morena bayo beans with chipotle &amp; adobo in blik', 'geraspte kaas tex-mex', 'maiskorrels in pot', 'limoen', 'verse koriander', 'trostomaat']",4,10,https://www.ah.nl/allerhande/recept/R-R1195580/quesadillatraybake,https://static.ah.nl/static/recepten/img_RAM_PRD151834_1024x748_JPG.jpg
35,"Traybake van zoete aardappel, kikkererwten en knapperige halloumi","['energie', '900 kcal', 'koolhydraten', '61 g', 'waarvan suikers', '13 g', 'natrium', '2040 mg', 'eiwit', '39 g', 'vet', '52 g', 'waarvan verzadigd', '23 g', 'vezels', '15 g']","['glutenvrij', 'vegetarisch', 'oven', 'hoofdgerecht']","['zoete aardappel', 'aubergine', 'milde paprikapoeder', 'gedroogde oregano', 'komijnzaad', 'arachideolie', 'zout', 'knoflook', 'halloumi kaas', 'groene olijven met piment', 'yoghurt Griekse stijl']",4,15,https://www.ah.nl/allerhande/recept/R-R1195579/traybake-van-zoete-aardappel-kikkererwten-en-knapperige-halloumi,https://static.ah.nl/static/recepten/img_RAM_PRD151855_1024x748_JPG.jpg
36,"Rijsttraybake met zwarte bonen, sperziebonen en tofu","['energie', '925 kcal', 'koolhydraten', '75 g', 'waarvan suikers', '8 g', 'natrium', '600 mg', 'eiwit', '36 g', 'vet', '50 g', 'waarvan verzadigd', '22 g', 'vezels', '16 g']","['veganistisch', 'oven', 'hoofdgerecht']","['rode ui', 'zwarte bonen in blik', 'zonnebloemolie', 'knoflook', 'zilvervliesrijst', 'AH Biologisch diepvries sperziebonen', 'groentebouillontablet', 'heet water', 'pindakaas naturel', 'kokosmelk', ""ongezouten pinda's""]",4,15,https://www.ah.nl/allerhande/recept/R-R1195577/rijsttraybake-met-zwarte-bonen-sperziebonen-en-tofu,https://static.ah.nl/static/recepten/img_RAM_PRD151836_1024x748_JPG.jpg
37,"Worsttraybake met kriel, venkel en appel","['energie', '455 kcal', 'koolhydraten', '35 g', 'waarvan suikers', '7 g', 'natrium', '480 mg', 'eiwit', '16 g', 'vet', '26 g', 'waarvan verzadigd', '6 g', 'vezels', '9 g']","['glutenvrij', 'lactosevrij', 'oven', 'hoofdgerecht']","['stoomaardappelmix', 'Elstar appel', 'verse rozemarijn', 'kipbraadworst', 'Souq Midden-Oosterse ovengroente kruidenmix', 'arachideolie', 'zout', 'sinaasappel', 'babyspinazie']",4,15,https://www.ah.nl/allerhande/recept/R-R1195576/worsttraybake-met-kriel-venkel-en-appel,https://static.ah.nl/static/recepten/img_RAM_PRD151857_1024x748_JPG.jpg
38,"Traybake met gnocchi, feta en snoeptomaat","['energie', '705 kcal', 'koolhydraten', '77 g', 'waarvan suikers', '10 g', 'natrium', '1160 mg', 'eiwit', '19 g', 'vet', '34 g', 'waarvan verzadigd', '12 g', 'vezels', '7 g']","['vegetarisch', 'oven', 'hoofdgerecht']","['koelverse gnocchi', 'feta 43+', 'snoepgroente tomatenmix', 'knoflook', 'milde olijfolie', 'zout', 'Italiaanse kruiden']",4,10,https://www.ah.nl/allerhande/recept/R-R1195575/traybake-met-gnocchi-feta-en-snoeptomaat,https://static.ah.nl/static/recepten/img_RAM_PRD151850_1024x748_JPG.jpg
39,"Traybake van kabeljauw, groene asperges en gepofte aardappel","['energie', '560 kcal', 'koolhydraten', '28 g', 'waarvan suikers', '8 g', 'natrium', '200 mg', 'eiwit', '33 g', 'vet', '34 g', 'waarvan verzadigd', '11 g', 'vezels', '5 g']","['glutenvrij', 'oven', 'hoofdgerecht']","['groene asperges', 'courgette', 'arachideolie', 'Verstegen ocean blend voor vis', 'verse dille', 'gepelde pistachenoten', 'zout', 'verse kabeljauwhaas', 'citroen', 'crème fraîche']",4,20,https://www.ah.nl/allerhande/recept/R-R1195574/traybake-van-kabeljauw-groene-asperges-en-gepofte-aardappel,https://static.ah.nl/static/recepten/img_RAM_PRD151852_1024x748_JPG.jpg
40,"Traybake van zoete aardappel, kip en courgette","['energie', '665 kcal', 'koolhydraten', '70 g', 'waarvan suikers', '24 g', 'natrium', '920 mg', 'eiwit', '33 g', 'vet', '26 g', 'waarvan verzadigd', '6 g', 'vezels', '10 g']","['glutenvrij', 'oven', 'hoofdgerecht']","['milde olijfolie', 'vloeibare honing', ""za'atar"", 'scharrelkiphaasje', 'zoete aardappel', 'courgette', 'rode puntpaprika', 'rode ui', 'groene olijven zonder pit', 'verse munt', 'witte kaas']",4,15,https://www.ah.nl/allerhande/recept/R-R1195573/traybake-van-zoete-aardappel-kip-en-courgette,https://static.ah.nl/static/recepten/img_RAM_PRD152399_1024x748_JPG.jpg
