id,name,nutritions,tags,ingredients,persons,time,url,image
10,"Noedels met tofu, Chinese wokgroente en zoete chilisaus","[energie, 535 kcal, koolhydraten, 55 g, waarvan suikers, 7 g, natrium, 600 mg, eiwit, 24 g, vet, 22 g, waarvan verzadigd, 4 g, vezels, 8 g]","[lactosevrij, vegetarisch, snel, chinees, aziatisch, hoofdgerecht, bakken]","[tofu naturel, arachideolie, Conimex sojasaus, Conimex eiermie, Chinese wokgroente taugé-rode paprika, Conimex woksaus sweet chili, verse koriander]",4,15,https://www.ah.nl/allerhande/recept/R-R1195771/noedels-met-tofu-chinese-wokgroente-en-zoete-chilisaus,https://static.ah.nl/static/recepten/img_RAM_PRD157031_1024x748_JPG.jpg
11,Groentewraps met vegetarische schnitzel,"[energie, 680 kcal, koolhydraten, 72 g, waarvan suikers, 10 g, natrium, 1080 mg, eiwit, 24 g, vet, 30 g, waarvan verzadigd, 8 g, vezels, 13 g]","[vegetarisch, wrap, hoofdgerecht, wat eten we vandaag, bakken]","[paprikamix, milde olijfolie, De Vegetarische Slager auf wiederschnitzel, winterpeen, babyromainesla, Knorr veggie wortelwrap, Calvé caesar saladedressing]",4,20,https://www.ah.nl/allerhande/recept/R-R1195770/groentewraps-met-vegetarische-schnitzel,https://static.ah.nl/static/recepten/img_RAM_PRD157028_1024x748_JPG.jpg
12,Romige spaghetti met bloemkoolsaus en spinazie,"[energie, 560 kcal, koolhydraten, 62 g, waarvan suikers, 11 g, natrium, 680 mg, eiwit, 22 g, vet, 22 g, waarvan verzadigd, 4 g, vezels, 11 g]","[vegetarisch, pasta, hoofdgerecht, wat eten we vandaag, koken]","[volkoren spaghetti, koelverse bloemkoolroosjes, Knorr mix voor romige tagliatelle, volle melk, water, rookamandelen, citroen, verse spinazie]",4,20,https://www.ah.nl/allerhande/recept/R-R1195769/romige-spaghetti-met-bloemkoolsaus-en-spinazie,https://static.ah.nl/static/recepten/img_RAM_PRD157033_1024x748_JPG.jpg
13,"Orzo met kalkoen, spinazie en geitenkaas","[energie, 490 kcal, koolhydraten, 58 g, waarvan suikers, 5 g, natrium, 440 mg, eiwit, 26 g, vet, 16 g, waarvan verzadigd, 7 g, vezels, 6 g]","[snel, pasta, hoofdgerecht, wat eten we vandaag, bakken]","[milde olijfolie, gesneden uien, knoflook, verse spinazie, verse geitenkaas naturel 45+, orzo pasta, kalkoenborstfilet]",4,15,https://www.ah.nl/allerhande/recept/R-R1195767/orzo-met-kalkoen-spinazie-en-geitenkaas,https://static.ah.nl/static/recepten/img_RAM_PRD156356_1024x748_JPG.jpg
14,Andijviestamppot met tomaatjes en zalm,"[energie, 465 kcal, koolhydraten, 47 g, waarvan suikers, 9 g, natrium, 520 mg, eiwit, 22 g, vet, 20 g, waarvan verzadigd, 9 g, vezels, 4 g]","[glutenvrij, snel, stamppot, hoofdgerecht, wat eten we vandaag, koken]","[romaatjes, ongezouten roomboter, gedroogde dille, koelverse stamppotaardappel, halfvolle melk, fijngesneden andijvie, warmgerookte zalmfilet]",4,15,https://www.ah.nl/allerhande/recept/R-R1195766/andijviestamppot-met-tomaatjes-en-zalm,https://static.ah.nl/static/recepten/img_RAM_PRD156351_1024x748_JPG.jpg
15,"Groene-currysoep met groenten, noedels en taugé","[energie, 460 kcal, koolhydraten, 55 g, waarvan suikers, 5 g, natrium, 560 mg, eiwit, 9 g, vet, 21 g, waarvan verzadigd, 17 g, vezels, 10 g]","[vegetarisch, snel, soep, hoofdgerecht, wat eten we vandaag, koken, maaltijdsoep]","[Thaise groene currypasta, fijngesneden prei, kokosmelk, diepvries gebroken sperzieboon, groentebouillontablet, kokend water, Thaise zilvervliesrijst noedels, limoen, verse koriander, taugé]",4,15,https://www.ah.nl/allerhande/recept/R-R1195765/groene-currysoep-met-groenten-noedels-en-tauge,https://static.ah.nl/static/recepten/img_RAM_PRD156353_1024x748_JPG.jpg
16,"Couscous met kip, bospeen en cranberrysaus","[energie, 635 kcal, koolhydraten, 72 g, waarvan suikers, 20 g, natrium, 240 mg, eiwit, 29 g, vet, 24 g, waarvan verzadigd, 5 g, vezels, 7 g]","[budget, oven, couscous, hoofdgerecht, wat eten we vandaag]","[bospeen, rode ui, kipdijfilet, perssinaasappel, zonnebloemolie, cranberrysaus, couscous, verse peterselie]",4,15,https://www.ah.nl/allerhande/recept/R-R1195764/couscous-met-kip-bospeen-en-cranberrysaus,https://static.ah.nl/static/recepten/img_RAM_PRD156352_1024x748_JPG.jpg
17,Lekkerbekje met aardappel en groente uit de oven,"[energie, 715 kcal, koolhydraten, 71 g, waarvan suikers, 4 g, natrium, 800 mg, eiwit, 27 g, vet, 34 g, waarvan verzadigd, 5 g, vezels, 9 g]","[oven, hoofdgerecht, wat eten we vandaag, 5-ingrediënten]","[koelverse aardappelpartjes met schil, arachideolie, diepvries lekkerbekje, Italiaanse roerbakmix cavolo nero, gesneden kastanjechampignons, koelverse pestospread]",4,10,https://www.ah.nl/allerhande/recept/R-R1195763/lekkerbekje-met-aardappel-en-groente-uit-de-oven,https://static.ah.nl/static/recepten/img_RAM_PRD156354_1024x748_JPG.jpg
18,"Tortillaschotel met zoete aardappel, tomaat en avocado","[energie, 605 kcal, koolhydraten, 58 g, waarvan suikers, 15 g, natrium, 520 mg, eiwit, 16 g, vet, 31 g, waarvan verzadigd, 7 g, vezels, 15 g]","[zonder vlees/vis, snel, hoofdgerecht, wat eten we vandaag, koken]","[tortillawrap, arachideolie, zoete aardappelblokjes, HAK Mexicaans gekruid tortillaschotel in zak, eetrijpe avocado, snoepgroente tomatenmix, paprika rauwkost, geraspte cheddar]",4,15,https://www.ah.nl/allerhande/recept/R-R1195762/tortillaschotel-met-zoete-aardappel-tomaat-en-avocado,https://static.ah.nl/static/recepten/img_RAM_PRD156358_1024x748_JPG.jpg
19,Chicken pot pie,"[energie, 350 kcal, koolhydraten, 29 g, waarvan suikers, 6 g, natrium, 560 mg, eiwit, 31 g, vet, 11 g, waarvan verzadigd, 5 g, vezels, 6 g]","[slank, oven, hoofdgerecht]","[water, groentebouillontablet, scharrelkipfilet, middelgrote ui, prei, winterpeen, champignons, verse tijm, verse platte peterselie, milde olijfolie, ongezouten roomboter, bloem, middelgroot ei, diepvries deeg voor hartige taart]",4,30,https://www.ah.nl/allerhande/recept/R-R1195742/chicken-pot-pie,https://static.ah.nl/static/recepten/img_RAM_PRD156240_1024x748_JPG.jpg
20,Eenpans-paddenstoelenstoof met deegballetjes,"[energie, 470 kcal, koolhydraten, 39 g, waarvan suikers, 6 g, natrium, 760 mg, eiwit, 10 g, vet, 28 g, waarvan verzadigd, 16 g, vezels, 4 g]","[vegetarisch, oven, hoofdgerecht]","[sjalot, knoflook, paddenstoelen voor pasta, kastanjechampignon, milde olijfolie, ongezouten roomboter, bloem, rode wijn, water, groentebouillontablet, zelfrijzend bakmeel]",4,30,https://www.ah.nl/allerhande/recept/R-R1195722/eenpans-paddenstoelenstoof-met-deegballetjes,https://static.ah.nl/static/recepten/img_RAM_PRD156242_1024x748_JPG.jpg
21,Portobellosteaks met aardappelpuree,"[energie, 695 kcal, koolhydraten, 53 g, waarvan suikers, 10 g, natrium, 200 mg, eiwit, 11 g, vet, 47 g, waarvan verzadigd, 11 g, vezels, 8 g]","[vegetarisch, glutenvrij, oven, hoofdgerecht]","[portobello, rode ui, korianderzaad, knoflook, zoet gerookt paprikapoeder, ketchup, milde olijfolie, kruimige aardappel, melk, ongezouten roomboter, rucola]",4,35,https://www.ah.nl/allerhande/recept/R-R1195721/portobellosteaks-met-aardappelpuree,https://static.ah.nl/static/recepten/img_RAM_PRD156262_1024x748_JPG.jpg
22,Broodje pulled paddos met barbecuesaus en knolselderijsalade,"[energie, 390 kcal, koolhydraten, 53 g, waarvan suikers, 11 g, natrium, 880 mg, eiwit, 14 g, vet, 12 g, waarvan verzadigd, 3 g, vezels, 8 g]","[vegetarisch, slank, oven, hoofdgerecht]","[oesterzwammen, barbecuesaus, citroen, knolselderij, verse bieslook, wittewijnazijn, dijonmosterd, milde olijfolie, crème fraîche, bakkersbol wit]",4,25,https://www.ah.nl/allerhande/recept/R-R1195720/broodje-pulled-paddo-s-met-barbecuesaus-en-knolselderijsalade,https://static.ah.nl/static/recepten/img_RAM_PRD156237_1024x748_JPG.jpg
23,"Traybake van peer, varkenslapjes, rode ui, tijm en knolselderij","[energie, 385 kcal, koolhydraten, 36 g, waarvan suikers, 21 g, natrium, 480 mg, eiwit, 26 g, vet, 12 g, waarvan verzadigd, 3 g, vezels, 15 g]","[lactosevrij, glutenvrij, slank, budget, oven, hoofdgerecht, wat eten we vandaag]","[rode ui, knolselderij, Conference peer, verse tijm, milde olijfolie, knoflook, dijonmosterd, vloeibare honing, paprikapoeder, filetlapjes à la minute]",4,15,https://www.ah.nl/allerhande/recept/R-R1195716/traybake-van-peer-varkenslapjes-rode-ui-tijm-en-knolselderij,https://static.ah.nl/static/recepten/img_RAM_PRD156276_1024x748_JPG.jpg
24,Vegan curry van gestoofde groenten met naan,"[energie, 885 kcal, koolhydraten, 101 g, waarvan suikers, 23 g, natrium, 1160 mg, eiwit, 26 g, vet, 36 g, waarvan verzadigd, 14 g, vezels, 25 g]","[veganistisch, curry, hoofdgerecht, stoven]","[middelgrote ui, knoflook, pastinaak, winterwortel, witte bonen in pot, milde olijfolie, komijnzaad, gemalen kurkuma (koenjit), milde paprikapoeder, kokosmelk light, water, Zonnatura groentebouillontablet, volkorenmeel, bakpoeder, AH plantaardige yoghurt soja ongezoet, zout]",4,40,https://www.ah.nl/allerhande/recept/R-R1195715/vegan-curry-van-gestoofde-groenten-met-naan,https://static.ah.nl/static/recepten/img_RAM_PRD156241_1024x748_JPG.jpg
25,Hutspot met hertenbiefstuk,"[energie, 710 kcal, koolhydraten, 55 g, waarvan suikers, 14 g, natrium, 280 mg, eiwit, 35 g, vet, 36 g, waarvan verzadigd, 17 g, vezels, 12 g]","[glutenvrij, stamppot, hoofdgerecht, koken]","[hertenbiefstuk, kruimige aardappel, milde olijfolie, hutspotgroente, venkelzaad, ongezouten roomboter, water, melk, verse platte peterselie]",4,35,https://www.ah.nl/allerhande/recept/R-R1195714/hutspot-met-hertenbiefstuk,https://static.ah.nl/static/recepten/img_RAM_PRD156247_1024x748_JPG.jpg
26,Plaattaart met kip en pompoen,"[energie, 670 kcal, koolhydraten, 40 g, waarvan suikers, 12 g, natrium, 720 mg, eiwit, 31 g, vet, 41 g, waarvan verzadigd, 13 g, vezels, 5 g]","[oven, hoofdgerecht]","[flespompoen, rode ui, milde olijfolie, kipfilethaasjes sweet chili, vers bladerdeeg, hazelnoten, middelgroot ei, zuivelspread, keukenstroop]",4,10,https://www.ah.nl/allerhande/recept/R-R1195713/plaattaart-met-kip-en-pompoen,https://static.ah.nl/static/recepten/img_RAM_PRD156259_1024x748_JPG.jpg
27,Vega stoofpotje met knolselderij en kastanjechampignons,"[energie, 650 kcal, koolhydraten, 55 g, waarvan suikers, 4 g, natrium, 520 mg, eiwit, 16 g, vet, 38 g, waarvan verzadigd, 8 g, vezels, 11 g]","[vegetarisch, budget, noedels, hoofdgerecht, koken]","[knolselderij, kastanjechampignon, middelgrote ui, knoflook, verse Italiaanse kruidenmix, milde olijfolie, venkelzaad, grove mosterd, water, plantaardige soja-kookroom, groentebouillontablet, woknoedels, ongebrande walnoten]",4,30,https://www.ah.nl/allerhande/recept/R-R1195712/vega-stoofpotje-met-knolselderij-en-kastanjechampignons,https://static.ah.nl/static/recepten/img_RAM_PRD156277_1024x748_JPG.jpg
28,Wilde rijstsoep met kip,"[energie, 565 kcal, koolhydraten, 73 g, waarvan suikers, 8 g, natrium, 1320 mg, eiwit, 28 g, vet, 17 g, waarvan verzadigd, 7 g, vezels, 5 g]","[budget, soep, hoofdgerecht, wat eten we vandaag, koken, maaltijdsoep]","[middelgrote ui, knoflook, winterpeen, champignons, water, verse tijm, laurierblaadje, paprikapoeder, uienpoeder, knoflookpoeder, wilde en witte rijst, scharrel kippenpoten naturel, kippenbouillonblokje, ongezouten roomboter, tarwebloem, halfvolle melk]",4,20,https://www.ah.nl/allerhande/recept/R-R1195711/wilde-rijstsoep-met-kip,https://static.ah.nl/static/recepten/img_RAM_PRD156280_1024x748_JPG.jpg
29,"Zuurkoolstamppot met appel, kaneel en bruine suiker","[energie, 620 kcal, koolhydraten, 51 g, waarvan suikers, 13 g, natrium, 1280 mg, eiwit, 20 g, vet, 35 g, waarvan verzadigd, 10 g, vezels, 10 g]","[stamppot, hoofdgerecht, koken]","[kruimige aardappel, rode ui, friszoete appel, spekreepjes, kaneelpoeder, bruine suiker, zuurkool, ongebrande walnoten, ongezouten roomboter]",4,30,https://www.ah.nl/allerhande/recept/R-R1195710/zuurkoolstamppot-met-appel-kaneel-en-bruine-suiker,https://static.ah.nl/static/recepten/img_RAM_PRD156283_1024x748_JPG.jpg
30,Fish pie,"[energie, 570 kcal, koolhydraten, 30 g, waarvan suikers, 4 g, natrium, 520 mg, eiwit, 31 g, vet, 36 g, waarvan verzadigd, 22 g, vezels, 2 g]","[oven, hoofdgerecht]","[verse kabeljauwfilet, verse slagroom, ongezouten roomboter, bloem, mosterd, salade-ui, verse dille, citroen, middelgroot ei, diepvries deeg voor hartige taart]",4,30,https://www.ah.nl/allerhande/recept/R-R1195701/fish-pie,https://static.ah.nl/static/recepten/img_RAM_PRD156243_1024x748_JPG.jpg
31,Stoofvleespastei,"[energie, 575 kcal, koolhydraten, 30 g, waarvan suikers, 6 g, natrium, 720 mg, eiwit, 41 g, vet, 31 g, waarvan verzadigd, 17 g, vezels, 2 g]","[oven, hoofdgerecht]","[middelgrote ui, knoflook, winterpeen, sukadelapje, tarwebloem, ongezouten roomboter, donkerblond bier, water, runderbouillontablet, laurierblaadje, appelstroop, middelgroot ei, vers bladerdeeg]",6,30,https://www.ah.nl/allerhande/recept/R-R1195699/stoofvleespastei,https://static.ah.nl/static/recepten/img_RAM_PRD156273_1024x748_JPG.jpg
32,Snelle risotto porcini,"[energie, 625 kcal, koolhydraten, 79 g, waarvan suikers, 2 g, natrium, 1000 mg, eiwit, 18 g, vet, 25 g, waarvan verzadigd, 16 g, vezels, 5 g]","[zonder vlees/vis, glutenvrij, snel, hoofdgerecht, wat eten we vandaag, koken]","[Riso Scotti buona idea risotto porcino, paddenstoelen voor risotto, champignons, ongezouten roomboter, Parmezaanse kaas]",4,15,https://www.ah.nl/allerhande/recept/R-R1195695/snelle-risotto-porcini,https://static.ah.nl/static/recepten/img_RAM_PRD156267_1024x748_JPG.jpg
33,"Stamppot boerenkool met geroosterde pompoen, spek en walnoten","[energie, 810 kcal, koolhydraten, 48 g, waarvan suikers, 8 g, natrium, 720 mg, eiwit, 22 g, vet, 57 g, waarvan verzadigd, 17 g, vezels, 8 g]","[stamppot, hoofdgerecht, wat eten we vandaag, koken]","[iets kruimige aardappel, spekreepjes, halfvolle melk, ongezouten roomboter, basisrecept geroosterde pompoen met boerenkool en walnoten]",4,20,https://www.ah.nl/allerhande/recept/R-R1195694/stamppot-boerenkool-met-geroosterde-pompoen-spek-en-walnoten,https://static.ah.nl/static/recepten/img_RAM_PRD156270_1024x748_JPG.jpg
34,"Rijst met vegaballetjes, boerenkool, knoflook en tomatensaus","[energie, 725 kcal, koolhydraten, 85 g, waarvan suikers, 5 g, natrium, 1200 mg, eiwit, 30 g, vet, 27 g, waarvan verzadigd, 4 g, vezels, 11 g]","[vegetarisch, lactosevrij, oven, rijst, hoofdgerecht, wat eten we vandaag, 5-ingrediënten]","[knoflook, verse boerenkool, milde olijfolie, rijst, vegetarische balletjes, verse pastasaus napolitana]",4,15,https://www.ah.nl/allerhande/recept/R-R1195692/rijst-met-vegaballetjes-boerenkool-knoflook-en-tomatensaus,https://static.ah.nl/static/recepten/img_RAM_PRD156265_1024x748_JPG.jpg
35,"Pasta met geroosterde pompoen met boerenkool, walnoten en tahin","[energie, 890 kcal, koolhydraten, 70 g, waarvan suikers, 7 g, natrium, 280 mg, eiwit, 28 g, vet, 52 g, waarvan verzadigd, 7 g, vezels, 15 g]","[vegetarisch, snel, pasta, hoofdgerecht, wat eten we vandaag, bakken]","[volkoren penne rigate, citroen, tahin, water, zout, verse platte peterselie, kikkererwten in blik, milde olijfolie, basisrecept geroosterde pompoen met boerenkool en walnoten]",4,15,https://www.ah.nl/allerhande/recept/R-R1195691/pasta-met-geroosterde-pompoen-met-boerenkool-walnoten-en-tahin,https://static.ah.nl/static/recepten/img_RAM_PRD156258_1024x748_JPG.jpg
36,"Pulled chicken met tortillas, bonen en avocado","[energie, 655 kcal, koolhydraten, 59 g, waarvan suikers, 6 g, natrium, 560 mg, eiwit, 41 g, vet, 26 g, waarvan verzadigd, 5 g, vezels, 9 g]","[wrap, hoofdgerecht, wat eten we vandaag, bakken]","[Mexican homemade style salsa, basisrecept kipfilet in bouillon, zwarte bonen in blik, komijnzaad, verse koriander, avocado, limoen, Griekse stijl yoghurt, maistortilla]",4,20,https://www.ah.nl/allerhande/recept/R-R1195689/pulled-chicken-met-tortilla-s-bonen-en-avocado,https://static.ah.nl/static/recepten/img_RAM_PRD156263_1024x748_JPG.jpg
37,Groentesoep met kip en rijst,"[energie, 560 kcal, koolhydraten, 41 g, waarvan suikers, 12 g, natrium, 1440 mg, eiwit, 55 g, vet, 18 g, waarvan verzadigd, 3 g, vezels, 8 g]","[snel, budget, hoofdgerecht, wat eten we vandaag, koken]","[zilvervliesrijst, middelgrote ui, knoflook, milde olijfolie, prei, cherrytomaten, basisrecept kipfilet in bouillon, milde harissa]",4,15,https://www.ah.nl/allerhande/recept/R-R1195687/groentesoep-met-kip-en-rijst,https://static.ah.nl/static/recepten/img_RAM_PRD156246_1024x748_JPG.jpg
38,"Traybake met kippendij, sinaasappelglaze en brocccoli","[energie, 670 kcal, koolhydraten, 62 g, waarvan suikers, 14 g, natrium, 600 mg, eiwit, 29 g, vet, 31 g, waarvan verzadigd, 6 g, vezels, 10 g]","[lactosevrij, oven, hoofdgerecht, wat eten we vandaag]","[sinaasappel, sjalot, appelcider, sojasaus, gemalen komijn, bruine suiker, zonnebloemolie, scharrelkipdijfilet, knoflook, verse krieltjes, koelvers broccoliroosje]",4,15,https://www.ah.nl/allerhande/recept/R-R1195686/traybake-met-kippendij-sinaasappelglaze-en-brocccoli,https://static.ah.nl/static/recepten/img_RAM_PRD156274_1024x748_JPG.jpg
39,Linzenstoof met gepocheerde eieren,"[energie, 480 kcal, koolhydraten, 54 g, waarvan suikers, 11 g, natrium, 240 mg, eiwit, 30 g, vet, 14 g, waarvan verzadigd, 3 g, vezels, 8 g]","[vegetarisch, lactosevrij, hoofdgerecht, stoven]","[middelgrote ui, knoflook, gember, zonnebloemolie, kardemompoeder, rode linzen, gepelde tomaten in blik, water, verse spinazie, middelgroot ei, verse koriander]",4,25,https://www.ah.nl/allerhande/recept/R-R1195685/linzenstoof-met-gepocheerde-eieren,https://static.ah.nl/static/recepten/img_RAM_PRD156253_1024x748_JPG.jpg
40,Pompoenlasagne XL met geitenkaas,"[energie, 590 kcal, koolhydraten, 49 g, waarvan suikers, 13 g, natrium, 720 mg, eiwit, 28 g, vet, 30 g, waarvan verzadigd, 17 g, vezels, 7 g]","[zonder vlees/vis, vooraf te maken, oven, pasta, hoofdgerecht, wat eten we vandaag, in te vriezen]","[oranje pompoen, rode ui, knoflook, gepelde tomaten in blik, milde olijfolie, passata di pomodoro, geitenkaas schijfjes, middelgroot ei, ricotta, verse lasagne all’uovo, geraspte geitenkaas]",8,25,https://www.ah.nl/allerhande/recept/R-R1195684/pompoenlasagne-xl-met-geitenkaas,https://static.ah.nl/static/recepten/img_RAM_PRD156261_1024x748_JPG.jpg
41,Ovenschotel met chipolata en knolselderij,"[energie, 630 kcal, koolhydraten, 71 g, waarvan suikers, 12 g, natrium, 640 mg, eiwit, 22 g, vet, 25 g, waarvan verzadigd, 10 g, vezels, 17 g]","[vooraf te maken, budget, oven, hoofdgerecht, wat eten we vandaag]","[kruimige aardappel, knolselderij, halfvolle melk, rode ui, appel, runderchipolataworstje, winterpeen, zonnebloemolie, ongezouten roomboter, Zaanse mosterd, panko]",4,30,https://www.ah.nl/allerhande/recept/R-R1195683/ovenschotel-met-chipolata-en-knolselderij,https://static.ah.nl/static/recepten/img_RAM_PRD156257_1024x748_JPG.jpg
42,Stoofvlees met zoete-aardappelfriet en rodekoolsalade,"[energie, 475 kcal, koolhydraten, 61 g, waarvan suikers, 17 g, natrium, 600 mg, eiwit, 16 g, vet, 16 g, waarvan verzadigd, 3 g, vezels, 12 g]","[lactosevrij, glutenvrij, oven, hoofdgerecht, wat eten we vandaag]","[ovenfriet zoete aardappel, milde olijfolie, rode kool, verse platte peterselie, sinaasappel-chili dressing, Streeckgenoten koelvers stoofvlees]",4,20,https://www.ah.nl/allerhande/recept/R-R1195682/stoofvlees-met-zoete-aardappelfriet-en-rodekoolsalade,https://static.ah.nl/static/recepten/img_RAM_PRD156272_1024x748_JPG.jpg
